,50K_GDAX_GEM_delta$,50K_GDAX_GEM_delta%,Bittrex,Date,Errors,Gdax,Gemini,Kraken,MaxExchange,MinExchange,Min_max_delta$,Min_max_delta%,Poloniex,total trading_costs%,wire_fee_USD
0,-211.05913403652548,-0.42174827860835207,792.6945,2017-12-18 17:41:49.301042,[],798.5,797.32,786.7119,798.5,786.7119,11.788099999999986,1.4984011300706124,792.5349640000001,0.005,35.0
1,-65.6609669811321,-0.1302213050314357,792.6945,2017-12-18 17:41:51.910447,[],798.5,795.0,786.7119,798.5,786.7119,11.788099999999986,1.4984011300706124,792.5349640000001,0.005,35.0
2,-252.89178905750754,-0.505623801676714,792.6945,2017-12-18 17:41:53.894845,[],798.5,797.99,786.7119,798.5,786.7119,11.788099999999986,1.4984011300706124,792.835887852697,0.005,35.0
3,-253.5152343701049,-0.5068738251732489,792.6945,2017-12-18 17:41:56.723004,[],798.49,797.99,786.7119,798.49,786.7119,11.778099999999995,1.4971300167189532,792.5349640000001,0.005,35.0
4,-253.5152343701049,-0.5068738251732489,792.6945,2017-12-18 17:41:58.113648,[],798.49,797.99,786.7119,798.49,786.7119,11.778099999999995,1.4971300167189532,792.5349640000001,0.005,35.0
5,-254.13906249999943,-0.5081246162280711,792.6945,2017-12-18 17:42:00.160546,[],798.49,798.0,786.7119,798.49,786.7119,11.778099999999995,1.4971300167189532,792.835887852697,0.005,35.0
6,-254.13906249999943,-0.5081246162280711,792.6945,2017-12-18 17:42:03.254335,[],798.49,798.0,786.7119,798.49,786.7119,11.778099999999995,1.4971300167189532,793.012575209101,0.005,35.0
7,-254.13906249999943,-0.5081246162280711,792.6945,2017-12-18 17:42:04.676228,[],798.49,798.0,786.7119,798.49,786.7119,11.778099999999995,1.4971300167189532,793.012575209101,0.005,35.0
8,-254.13906249999943,-0.5081246162280711,792.6945,2017-12-18 17:42:07.113757,[],798.49,798.0,786.951204,798.49,786.951204,11.538796000000048,1.4662657533719268,793.012575209101,0.005,35.0
9,-254.13906249999943,-0.5081246162280711,792.6945,2017-12-18 17:42:11.566942,[],798.49,798.0,786.7119,798.49,786.7119,11.778099999999995,1.4971300167189532,792.835887852697,0.005,35.0
10,-191.05454046424092,-0.3816385664993682,792.6945,2017-12-18 17:42:14.691976,[],798.5,797.0,786.7119,798.5,786.7119,11.788099999999986,1.4984011300706124,792.835887852697,0.005,35.0
11,-191.05454046424092,-0.3816385664993682,792.6945,2017-12-18 17:42:16.301372,[],798.5,797.0,786.7119,798.5,786.7119,11.788099999999986,1.4984011300706124,792.835887852697,0.005,35.0
12,-254.13906249999943,-0.5081246162280711,792.6945,2017-12-18 17:42:20.910697,[],798.49,798.0,787.709,798.49,787.709,10.781000000000063,1.3686526369509633,793.018983481062,0.005,35.0
13,-253.515625,-0.5068746083959913,792.6945,2017-12-18 17:42:22.957562,[],798.5,798.0,787.709,798.5,787.709,10.791000000000054,1.3699221412983797,792.6945,0.005,35.0
14,-253.515625,-0.5068746083959913,792.6945,2017-12-18 17:42:26.473229,[],798.5,798.0,787.709,798.5,787.709,10.791000000000054,1.3699221412983797,792.6945,0.005,35.0
15,-253.515625,-0.5068746083959913,792.6945,2017-12-18 17:42:29.285800,[],798.5,798.0,787.709,798.5,787.709,10.791000000000054,1.3699221412983797,792.6945,0.005,35.0
16,-253.515625,-0.5068746083959913,792.6945,2017-12-18 17:42:34.114090,[],798.5,798.0,787.709,798.5,787.709,10.791000000000054,1.3699221412983797,792.835887852697,0.005,35.0
17,-253.515625,-0.5068746083959913,792.6945,2017-12-18 17:42:36.223502,[],798.5,798.0,787.709,798.5,787.709,10.791000000000054,1.3699221412983797,792.835887852697,0.005,35.0
18,-254.13906249999943,-0.5081246162280711,792.6945,2017-12-18 17:42:37.629611,[],798.49,798.0,787.709,798.49,787.709,10.781000000000063,1.3686526369509633,792.835887852697,0.005,35.0
19,-254.13906249999943,-0.5081246162280711,792.6945,2017-12-18 17:42:39.489156,[],798.49,798.0,787.709,798.49,787.709,10.781000000000063,1.3686526369509633,793.365246069019,0.005,35.0
20,-254.13906249999943,-0.5081246162280711,792.6945,2017-12-18 17:42:40.973473,[],798.49,798.0,788.147724,798.49,788.147724,10.34227599999997,1.3122255746056013,792.835887852697,0.005,35.0
21,-250.39843750000284,-0.5006245692355927,792.6945,2017-12-18 17:42:45.676594,[],798.55,798.0,788.227492,798.55,788.227492,10.32250799999997,1.3095848729924748,793.6916,0.005,35.0
